node,seed,centrality,cascade_impact
DaejeonYard,512,0.1369320004553199,0.03773584905660377
Uiwang,512,0.12703148217085447,0.018867924528301886
Cheongju,512,0.01599742091100239,0.05660377358490566
Onsan,512,0.09829467237116747,0.018867924528301886
Heungguksa,512,0.015979370271021635,0.03773584905660377
Okgye,512,0.02411247536888994,0.018867924528301886
Taegum,512,0.08390020923287621,0.018867924528301886
Deokso,512,0.03544689148225913,0.1509433962264151
Gunsan,512,0.07185146884096948,0.05660377358490566
Gacheon,512,0.03718047125618047,0.018867924528301886
Incheon,512,0.1438966614155652,0.018867924528301886
Masan,512,0.006390864604074889,0.018867924528301886
Yakmok,512,0.00916503184772475,0.03773584905660377
Ipseokri,512,0.16610632114550306,0.03773584905660377
Naju,512,0.0016523185096787374,0.018867924528301886
Jeokryang,512,0.030675291034883142,0.22641509433962265
Ganchi,512,0.06517269230802607,0.018867924528301886
Paldang,512,0.058469615427680456,0.018867924528301886
Doan,512,0.05339299944460615,0.018867924528301886
Mokpo,512,0.01089558298114306,0.018867924528301886
Eumseong,512,0.05339299944460615,0.018867924528301886
Munsu,512,0.002413786564573305,0.05660377358490566
BugangCargo,512,0.06684301747650828,0.018867924528301886
Seokhang,512,0.07998941459315986,0.018867924528301886
Shindong,512,0.013388843449840001,0.03773584905660377
Gaya,512,0.0028807828507644282,0.018867924528301886
Jecheon,512,0.000537395445314548,0.018867924528301886
Gyeongju,512,0.05339299944460615,0.018867924528301886
Heukseokri,512,0.011908463996226967,0.018867924528301886
Seokpo,512,0.02543059380519576,0.018867924528301886
Sillyewon,512,0.06390724682240535,0.018867924528301886
Taehwagang,512,0.024687298772296515,0.07547169811320754
Iksan,512,0.029947251077317112,0.03773584905660377
Mureung,512,0.05339299944460615,0.018867924528301886
Susaek,512,0.1825232677311175,0.018867924528301886
Gwangwoondae,512,0.06226014284566488,0.018867924528301886
Cheonan,512,0.07998941459315986,0.018867924528301886
JecheonYard,1024,0.44117343755819177,1.0
BusanNewPort,1024,0.23609581294655577,0.37735849056603776
Donghae,1024,0.2806127039468118,0.2830188679245283
Obong,1024,0.41196664244573217,0.11320754716981132
Goedong,1024,0.31716169709523817,0.24528301886792453
Yeongju,1024,0.1436737410793876,0.22641509433962265
Dongsan,1024,0.10676225817600872,0.09433962264150944
ShingwangyangPort,1024,0.06421647176775935,0.20754716981132076
Dodam,1024,0.2399139957841775,0.09433962264150944
Busanjin,1024,0.1415741895215749,0.018867924528301886
Cheoram,1024,0.08519018714683996,0.07547169811320754
Hwangdeung,1024,0.07598970836441843,0.05660377358490566
Sapgyo,1024,0.0646765679803622,0.018867924528301886
Ssangryong,1024,0.11326846926084355,0.03773584905660377
Gwangyang,1024,0.03931905282552722,0.03773584905660377
Suncheon,1024,0.029493218290944756,0.07547169811320754
DaejeonYard,1024,0.1882585036979202,0.018867924528301886
Uiwang,1024,0.054418667261125625,0.03773584905660377
Cheongju,1024,0.004611306914494072,0.1509433962264151
Onsan,1024,0.14489173604586858,0.03773584905660377
Heungguksa,1024,0.04253258138984297,0.018867924528301886
Okgye,1024,0.07373878325190222,0.018867924528301886
Taegum,1024,0.13704564172544217,0.05660377358490566
Deokso,1024,0.1737065489370734,0.07547169811320754
Gunsan,1024,0.02285424161205705,0.1509433962264151
Gacheon,1024,0.1422327704458484,0.018867924528301886
Incheon,1024,0.09851373468893,0.018867924528301886
Masan,1024,0.004449038216949487,0.05660377358490566
Yakmok,1024,0.09012107720843696,0.018867924528301886
Ipseokri,1024,0.16780752973516722,0.03773584905660377
Naju,1024,0.044998534774751936,0.018867924528301886
Jeokryang,1024,0.0008649907166213979,0.1509433962264151
Ganchi,1024,0.08576335766222061,0.03773584905660377
Paldang,1024,0.0008649907006366867,0.018867924528301886
Doan,1024,0.02570451769526709,0.018867924528301886
Mokpo,1024,0.00016226872015038087,0.018867924528301886
Eumseong,1024,0.010206972910958345,0.018867924528301886
Munsu,1024,0.014252367466404344,0.018867924528301886
BugangCargo,1024,0.048569603436476094,0.018867924528301886
Seokhang,1024,0.07726903988506396,0.018867924528301886
Shindong,1024,0.03147377849122502,0.03773584905660377
Gaya,1024,0.059486415785497876,0.018867924528301886
Jecheon,1024,0.07726903988506396,0.018867924528301886
Gyeongju,1024,0.044282833939677,0.018867924528301886
Heukseokri,1024,0.0827463546603505,0.018867924528301886
Seokpo,1024,0.016085696111237686,0.03773584905660377
Sillyewon,1024,0.07726903988506396,0.018867924528301886
Taehwagang,1024,0.0827463546603505,0.018867924528301886
Iksan,1024,0.0008649907006366867,0.018867924528301886
Mureung,1024,0.027175773760369944,0.018867924528301886
Susaek,1024,0.09173503398207686,0.018867924528301886
Gwangwoondae,1024,0.10282555823469268,0.018867924528301886
Cheonan,1024,0.03432239034761315,0.018867924528301886
JecheonYard,2048,0.4079167506829128,1.0
BusanNewPort,2048,0.3092629836255373,1.0
Donghae,2048,0.36772369883853834,0.33962264150943394
Obong,2048,0.36277128759498145,1.0
Goedong,2048,0.2707524020202191,0.24528301886792453
Yeongju,2048,0.1612208504360247,0.07547169811320754
Dongsan,2048,0.004813474667653773,0.18867924528301888
ShingwangyangPort,2048,0.14203649854657371,0.05660377358490566
Dodam,2048,0.2246527890569787,0.09433962264150944
Busanjin,2048,0.07907862773190066,0.24528301886792453
Cheoram,2048,0.09669898877366828,0.16981132075471697
Hwangdeung,2048,0.10828727326774966,0.018867924528301886
Sapgyo,2048,0.054745066490859404,0.2641509433962264
Ssangryong,2048,0.08050131188950162,0.018867924528301886
Gwangyang,2048,0.06032716734570882,0.05660377358490566
Suncheon,2048,0.12880728713935968,0.018867924528301886
DaejeonYard,2048,0.1881776031533537,0.018867924528301886
Uiwang,2048,0.1406442022834019,0.09433962264150944
Cheongju,2048,0.13898847218558866,0.018867924528301886
Onsan,2048,0.232501184266587,0.018867924528301886
Heungguksa,2048,0.02776485756196644,0.03773584905660377
Okgye,2048,0.01697071001521017,0.018867924528301886
Taegum,2048,0.02343079689277709,0.18867924528301888
Deokso,2048,0.004806392006723133,0.18867924528301888
Gunsan,2048,0.01909035002281716,0.03773584905660377
Gacheon,2048,0.042384567934407966,0.018867924528301886
Incheon,2048,0.07388769671369376,0.018867924528301886
Masan,2048,0.0150459985350049,0.018867924528301886
Yakmok,2048,0.0009504040138375685,0.03773584905660377
Ipseokri,2048,0.15759362451855824,0.018867924528301886
Naju,2048,0.0009146087727757102,0.018867924528301886
Jeokryang,2048,0.08731994363697117,0.07547169811320754
Ganchi,2048,0.1203566601778888,0.018867924528301886
Paldang,2048,0.01839914683427852,0.018867924528301886
Doan,2048,0.003632461363021144,0.018867924528301886
Mokpo,2048,0.0009159621713984917,0.018867924528301886
Eumseong,2048,0.07761222388979333,0.018867924528301886
Munsu,2048,0.051515956727566495,0.018867924528301886
BugangCargo,2048,0.09900781625119008,0.018867924528301886
Seokhang,2048,0.07761222388979333,0.018867924528301886
Shindong,2048,0.02702437897318697,0.018867924528301886
Gaya,2048,0.002266069260274743,0.03773584905660377
Jecheon,2048,0.0009146087727757102,0.018867924528301886
Gyeongju,2048,0.05884169817868886,0.018867924528301886
Heukseokri,2048,0.04274443628809548,0.018867924528301886
Seokpo,2048,0.05884169817868886,0.018867924528301886
Sillyewon,2048,0.06996558896067083,0.018867924528301886
Taehwagang,2048,0.051515956727566495,0.018867924528301886
Iksan,2048,0.0001808900649385488,0.018867924528301886
Mureung,2048,0.005282687730444231,0.018867924528301886
Susaek,2048,0.12605970416052312,0.018867924528301886
Gwangwoondae,2048,0.034447114461031166,0.018867924528301886
Cheonan,2048,0.011909608457913888,0.03773584905660377
JecheonYard,4096,0.43154878680911274,1.0
BusanNewPort,4096,0.12246428676501013,1.0
Donghae,4096,0.25258071803738513,0.22641509433962265
Obong,4096,0.44341909005891517,1.0
Goedong,4096,0.13482095415888562,0.20754716981132076
Yeongju,4096,0.19254128739420068,0.018867924528301886
Dongsan,4096,0.13137475680495306,1.0
ShingwangyangPort,4096,0.11279427141367743,0.11320754716981132
Dodam,4096,0.3057729495684521,0.1320754716981132
Busanjin,4096,0.10573734596984168,0.05660377358490566
Cheoram,4096,0.1185927274039273,0.05660377358490566
Hwangdeung,4096,0.14185199965069217,0.1320754716981132
Sapgyo,4096,0.01590557362941394,0.09433962264150944
Ssangryong,4096,0.14359507855369247,0.05660377358490566
Gwangyang,4096,0.18800771681003609,0.018867924528301886
Suncheon,4096,0.022632648958161226,0.05660377358490566
DaejeonYard,4096,0.1554954199651469,0.03773584905660377
Uiwang,4096,0.06059974346071001,0.03773584905660377
Cheongju,4096,0.08749194322501239,0.07547169811320754
Onsan,4096,0.19645148287306996,0.03773584905660377
Heungguksa,4096,0.022773251400925128,0.1320754716981132
Okgye,4096,0.1273753248174093,0.018867924528301886
Taegum,4096,0.06889370217858076,0.09433962264150944
Deokso,4096,0.024823402163694885,0.03773584905660377
Gunsan,4096,0.1136819340159698,0.1320754716981132
Gacheon,4096,0.004392350234295215,0.03773584905660377
Incheon,4096,0.008763037644369687,0.018867924528301886
Masan,4096,0.019687698975449894,0.018867924528301886
Yakmok,4096,0.042488753693730265,0.018867924528301886
Ipseokri,4096,0.2614458570902131,0.018867924528301886
Naju,4096,0.08034773381801609,0.018867924528301886
Jeokryang,4096,0.1273753248174093,0.018867924528301886
Ganchi,4096,0.02443266278267063,0.018867924528301886
Paldang,4096,0.02280105471828037,0.018867924528301886
Doan,4096,0.021926071469926176,0.03773584905660377
Mokpo,4096,0.004240079722503697,0.018867924528301886
Eumseong,4096,0.022080919798951812,0.018867924528301886
Munsu,4096,0.004082338709297855,0.1320754716981132
BugangCargo,4096,0.038370547002269106,0.018867924528301886
Seokhang,4096,0.08034773381801609,0.018867924528301886
Shindong,4096,0.02280105471828037,0.018867924528301886
Gaya,4096,0.02510152212613211,0.018867924528301886
Jecheon,4096,0.0008178070771252156,0.03773584905660377
Gyeongju,4096,0.0046220171579343374,0.018867924528301886
Heukseokri,4096,0.01282688946622221,0.018867924528301886
Seokpo,4096,0.011283556471479602,0.018867924528301886
Sillyewon,4096,0.05693065128243149,0.018867924528301886
Taehwagang,4096,0.028950798343623792,0.03773584905660377
Iksan,4096,0.015821596952397248,0.03773584905660377
Mureung,4096,0.036576284727408426,0.018867924528301886
Susaek,4096,0.1645906342744515,0.018867924528301886
Gwangwoondae,4096,0.08497789886218987,0.03773584905660377
Cheonan,4096,0.0598544804656154,0.018867924528301886
JecheonYard,8192,0.42545865736655436,1.0
